epoch,beta,train_total,train_recon,train_kl,val_total,val_recon,val_kl,lr
125,0.001,0.05615,0.04925,6.89955,0.05885,0.05201,6.83667,2.50e-04
126,0.001,0.05571,0.04880,6.90955,0.05892,0.05207,6.84627,2.50e-04
127,0.001,0.05561,0.04871,6.90340,0.05890,0.05195,6.94272,2.50e-04
128,0.001,0.05549,0.04858,6.91065,0.05851,0.05157,6.94342,2.50e-04
129,0.001,0.05564,0.04870,6.93554,0.05884,0.05196,6.88040,2.50e-04
130,0.001,0.05541,0.04850,6.90624,0.05870,0.05177,6.92327,2.50e-04
131,0.001,0.05576,0.04885,6.91402,0.05903,0.05210,6.93424,2.50e-04
132,0.001,0.05546,0.04854,6.91480,0.05891,0.05200,6.91494,2.50e-04
133,0.001,0.05529,0.04836,6.92973,0.05835,0.05150,6.84514,2.50e-04
134,0.001,0.05545,0.04852,6.93620,0.05879,0.05193,6.86536,2.50e-04
135,0.001,0.05525,0.04833,6.91865,0.05864,0.05167,6.97784,2.50e-04
136,0.001,0.05542,0.04847,6.95007,0.05884,0.05190,6.94277,2.50e-04
137,0.001,0.05513,0.04821,6.92033,0.05888,0.05201,6.87115,2.50e-04
138,0.001,0.05504,0.04810,6.94284,0.05837,0.05149,6.88238,2.50e-04
139,0.001,0.05504,0.04809,6.94736,0.05905,0.05213,6.91722,2.50e-04
140,0.001,0.05528,0.04834,6.94366,0.05914,0.05219,6.95497,2.50e-04
141,0.001,0.05525,0.04829,6.95370,0.05875,0.05172,7.02363,2.50e-04
142,0.001,0.05510,0.04816,6.94587,0.05810,0.05121,6.89489,2.50e-04
143,0.001,0.05492,0.04797,6.94774,0.05862,0.05164,6.98018,2.50e-04
144,0.001,0.05520,0.04823,6.97174,0.05842,0.05153,6.89529,2.50e-04
145,0.001,0.05494,0.04797,6.96450,0.05918,0.05215,7.02852,2.50e-04
146,0.001,0.05505,0.04807,6.98002,0.05910,0.05208,7.02273,2.50e-04
147,0.001,0.05493,0.04798,6.95513,0.05814,0.05120,6.93913,2.50e-04
148,0.001,0.05481,0.04784,6.97220,0.05885,0.05187,6.97982,2.50e-04
149,0.001,0.05493,0.04795,6.97436,0.05844,0.05147,6.97055,2.50e-04
150,0.001,0.05465,0.04768,6.97580,0.05879,0.05179,6.99269,2.50e-04
151,0.001,0.05474,0.04776,6.97294,0.05821,0.05118,7.03224,2.50e-04
152,0.001,0.05467,0.04768,6.98168,0.05907,0.05218,6.88638,2.50e-04
153,0.001,0.05453,0.04756,6.96882,0.05852,0.05160,6.92947,1.25e-04
154,0.001,0.05367,0.04668,6.99052,0.05744,0.05039,7.05845,1.25e-04
155,0.001,0.05344,0.04643,7.01352,0.05778,0.05082,6.96103,1.25e-04
156,0.001,0.05345,0.04644,7.01375,0.05734,0.05030,7.03561,1.25e-04
157,0.001,0.05351,0.04650,7.01700,0.05751,0.05044,7.06486,1.25e-04
158,0.001,0.05351,0.04649,7.01914,0.05749,0.05046,7.03136,1.25e-04
159,0.001,0.05327,0.04622,7.04748,0.05739,0.05032,7.06717,1.25e-04
160,0.001,0.05347,0.04644,7.03524,0.05725,0.05025,7.00478,1.25e-04
161,0.001,0.05334,0.04630,7.04099,0.05718,0.05017,7.00662,1.25e-04
162,0.001,0.05339,0.04637,7.02125,0.05745,0.05041,7.03806,1.25e-04
163,0.001,0.05340,0.04637,7.03777,0.05743,0.05036,7.06890,1.25e-04
164,0.001,0.05331,0.04625,7.05714,0.05728,0.05027,7.01071,1.25e-04
165,0.001,0.05339,0.04636,7.03380,0.05720,0.05016,7.03661,1.25e-04
166,0.001,0.05296,0.04592,7.04294,0.05706,0.05007,6.98357,1.25e-04
167,0.001,0.05290,0.04584,7.06184,0.05719,0.05011,7.07485,1.25e-04
168,0.001,0.05339,0.04633,7.05936,0.05753,0.05041,7.12131,1.25e-04
169,0.001,0.05322,0.04618,7.04847,0.05724,0.05016,7.08450,1.25e-04
170,0.001,0.05309,0.04605,7.03471,0.05717,0.05020,6.96959,1.25e-04
